Timestamp, People Count, Occupancy
2025-07-30 21:57:22, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:22, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:22, Count: 6, Occupancy: 60.00%
2025-07-30 21:57:23, Count: 6, Occupancy: 60.00%
2025-07-30 21:57:23, Count: 6, Occupancy: 60.00%
2025-07-30 21:57:23, Count: 6, Occupancy: 60.00%
2025-07-30 21:57:23, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:23, Count: 6, Occupancy: 60.00%
2025-07-30 21:57:24, Count: 6, Occupancy: 60.00%
2025-07-30 21:57:24, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:24, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:24, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:25, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:25, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:25, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:26, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:26, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:26, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:26, Count: 6, Occupancy: 60.00%
2025-07-30 21:57:27, Count: 6, Occupancy: 60.00%
2025-07-30 21:57:27, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:27, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:28, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:28, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:28, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:28, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:29, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:29, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:29, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:30, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:30, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:31, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:31, Count: 7, Occupancy: 70.00%
